iso3,country_name_ghg,year,ghg_per_capita,region,gdp_per_capita_ppp,renewable_pct,electricity_access_pct,fossil_fuel_pct,log_gdp,energy_poverty_flag,green_by_choice_flag
KEN,Kenya,2018,1.223337,,4304.77163567309,72.2714996337891,61.4364166259766,,3.633950117462698,1,1
MYS,Malaysia,2018,9.79379,,28219.8026138181,5.3105001449585,100.0,,4.450553971713531,0,0
MDV,Maldives,2018,4.197021,,19246.8074838403,1.11829996109009,100.0,,4.284358702305005,0,0
MLT,Malta,2018,4.165486,,44482.2396843652,7.46479988098145,100.0,,4.6481866458868,0,0
MUS,Mauritius,2018,4.478291,,22741.3513191773,9.19890022277832,99.4200668334961,,4.356816267432866,0,0
MDA,Moldova,2018,4.406259,,12659.983658527,25.7460994720459,99.99,,4.102433145095544,0,1
NAM,Namibia,2018,4.198732,,10334.5720485037,30.3269996643066,53.969539642334,,4.014292497332784,1,1
NPL,Nepal,2018,1.761065,,3864.32212409671,75.0397033691406,93.92,,3.5870733213890915,0,1
NGA,Nigeria,2018,1.512795,,5278.84839470055,79.6541976928711,56.5,,3.7225391895079802,1,1
PAN,Panama,2018,4.362435,,31757.561135057,24.4111995697021,94.94482421875,,4.5018471428023945,0,1
PER,Peru,2018,3.189103,,13088.2958384558,27.8973999023438,95.2,,4.116883102919304,0,1
ROU,Romania,2018,6.048876,,29248.8093232601,23.0492992401123,100.0,,4.466108191277583,0,1
RUS,Russia,2018,14.07665,,28681.7844582961,3.18050003051758,100.0,,4.457606167786651,0,0
RWA,Rwanda,2018,0.7978748,,2138.89969873046,85.6945037841797,34.7422370910645,,3.330190419303072,1,1
SRB,Serbia,2018,9.022214,,17736.0068023489,21.1446990966797,100.0,,4.248855846672852,0,0
SGP,Singapore,2018,10.08684,,100581.158024992,0.727299988269806,100.0,,5.002516631493386,0,0
SLB,Solomon Islands,2018,0.8389294,,2762.41641187812,48.5018005371094,66.4730453491211,,3.4412891455495256,1,1
ZAF,South Africa,2018,8.537099,,12931.1227644514,10.3432998657227,84.7,,4.111636234798132,0,0
UKR,Ukraine,2018,7.631061,,12634.2355540514,6.90729999542236,100.0,,4.1015489696670295,0,0
UZB,Uzbekistan,2018,5.80262,,6917.6787960123,1.48749995231628,100.0,,3.8399603928390884,0,0
AUS,Australia,2014,22.74019,East Asia & Pacific,46880.2206571585,9.3169002532959,100.0,93.386835655426,4.670989647164488,0,0
AUT,Austria,2014,9.033319,Europe & Central Asia,48799.7154676985,35.790901184082,100.0,64.8131564661468,4.6884172898066305,0,0
BEL,Belgium,2014,10.21425,Europe & Central Asia,44929.685593416,9.12479972839355,100.0,72.6525048356486,4.652533379520641,0,0
CAN,Canada,2014,20.97687,North America,45753.7505547994,22.4167995452881,100.0,73.1928743182183,4.660426700118124,0,0
CHL,Chile,2014,5.283227,Latin America & Caribbean,22786.642771331,26.9461002349854,100.0,73.2505438289352,4.357680343904028,0,1
COL,Colombia,2014,3.509622,Latin America & Caribbean,13307.4245015783,32.3832015991211,97.790938,76.685692626894,4.124094010922873,0,1
