iso3,country_name_ghg,year,ghg_per_capita,region,ghg_change_pct,ghg_change_abs
BGR,Bulgaria,2018,7.861728,,-15.79,-1.252
CIV,Côte d’Ivoire,2018,1.710556,,,
HRV,Croatia,2018,6.123429,,13.3,0.766
CUB,Cuba,2018,4.803382,,,
CYP,Cyprus,2018,6.939748,,-8.21,-0.565
EGY,Egypt,2018,3.463126,,,
GEO,Georgia,2018,4.652597,,,
GHA,Ghana,2018,1.312229,,,
GTM,Guatemala,2018,1.868301,,,
GNB,Guinea-Bissau,2018,0.6934381,,,
GUY,Guyana,2018,6.167833,,,
VAT,Holy See,2018,29.40696,,,
IDN,Indonesia,2018,3.378282,,,
KAZ,Kazakhstan,2018,21.34503,,-17.1,-3.509
KEN,Kenya,2018,1.223337,,,
LIE,Liechtenstein,2018,4.732372,,-21.1,-1.13
MYS,Malaysia,2018,9.79379,,,
MDV,Maldives,2018,4.197021,,,
MLT,Malta,2018,4.165486,,-35.66,-2.336
MUS,Mauritius,2018,4.478291,,,
MDA,Moldova,2018,4.406259,,,
MCO,Monaco,2018,2.261659,,-34.6,-0.812
MAR,Morocco,2018,2.586243,,,
NAM,Namibia,2018,4.198732,,,
NPL,Nepal,2018,1.761065,,,
NGA,Nigeria,2018,1.512795,,,
PAN,Panama,2018,4.362435,,,
PER,Peru,2018,3.189103,,,
ROU,Romania,2018,6.048876,,-8.16,-0.482
RUS,Russia,2018,14.07665,,4.84,0.662
RWA,Rwanda,2018,0.7978748,,,
SRB,Serbia,2018,9.022214,,20.37,1.552
SGP,Singapore,2018,10.08684,,,
SLB,Solomon Islands,2018,0.8389294,,,
ZAF,South Africa,2018,8.537099,,,
UKR,Ukraine,2018,7.631061,,-23.14,-1.858
UZB,Uzbekistan,2018,5.80262,,,
VEN,Venezuela,2018,6.191895,,,
AUS,Australia,2014,22.74019,East Asia & Pacific,-12.36,-2.811
AUT,Austria,2014,9.033319,Europe & Central Asia,-16.71,-1.509
BEL,Belgium,2014,10.21425,Europe & Central Asia,-17.9,-1.829
CAN,Canada,2014,20.97687,North America,-15.83,-3.32
CHL,Chile,2014,5.283227,Latin America & Caribbean,,
COL,Colombia,2014,3.509622,Latin America & Caribbean,,
CRI,Costa Rica,2014,3.075124,Latin America & Caribbean,,
CZE,Czechia,2014,11.91482,Europe & Central Asia,-20.76,-2.474
DNK,Denmark,2014,9.377474,Europe & Central Asia,-30.06,-2.819
EST,Estonia,2014,15.96656,Europe & Central Asia,-50.24,-8.021
FIN,Finland,2014,10.7283,Europe & Central Asia,-31.68,-3.399
FRA,France,2014,7.046576,Europe & Central Asia,-19.77,-1.393
DEU,Germany,2014,10.98049,Europe & Central Asia,-27.61,-3.032
GRC,Greece,2014,9.174307,Europe & Central Asia,-23.45,-2.151
HUN,Hungary,2014,6.00465,Europe & Central Asia,-6.62,-0.398
ISL,Iceland,2014,14.53881,Europe & Central Asia,-17.54,-2.551
IRL,Ireland,2014,12.47143,Europe & Central Asia,-15.24,-1.9
ISR,Israel,2014,9.849664,Middle East & North Africa,-14.39,-1.417
ITA,Italy,2014,7.120819,Europe & Central Asia,-9.39,-0.669
JPN,Japan,2014,10.5282,East Asia & Pacific,-18.35,-1.932
KOR,Korea,2014,14.33164,East Asia & Pacific,,
LVA,Latvia,2014,5.373127,Europe & Central Asia,-1.44,-0.077
LTU,Lithuania,2014,6.594755,Europe & Central Asia,-5.17,-0.341
LUX,Luxembourg,2014,19.4309,Europe & Central Asia,-39.89,-7.75
MEX,Mexico,2014,6.141273,North America,,
NLD,Netherlands,2014,10.9876,Europe & Central Asia,-28.47,-3.128
NZL,New Zealand,2014,18.4279,East Asia & Pacific,-19.84,-3.655
NOR,Norway,2014,10.45206,Europe & Central Asia,-19.28,-2.015
POL,Poland,2014,9.929695,Europe & Central Asia,-9.57,-0.95
PRT,Portugal,2014,6.078352,Europe & Central Asia,-16.21,-0.985
SVK,Slovak Republic,2014,7.319902,Europe & Central Asia,-10.69,-0.783
SVN,Slovenia,2014,8.093888,Europe & Central Asia,-13.66,-1.105
ESP,Spain,2014,6.857054,Europe & Central Asia,-17.83,-1.222
SWE,Sweden,2014,5.515628,Europe & Central Asia,-23.73,-1.309
CHE,Switzerland,2014,6.044053,Europe & Central Asia,-23.99,-1.45
TUR,Türkiye,2014,5.997226,Europe & Central Asia,14.43,0.866
GBR,United Kingdom,2014,8.215401,Europe & Central Asia,-31.67,-2.602
USA,United States,2014,21.37271,North America,,
DZA,Algeria,2014,5.151576,Middle East & North Africa,,
ARG,Argentina,2014,7.848993,Latin America & Caribbean,,
BLR,Belarus,2014,9.893406,Europe & Central Asia,-3.37,-0.333
BRA,Brazil,2014,6.026185,,,
BRN,Brunei Darussalam,2014,27.43803,,,
BGR,Bulgaria,2014,7.927114,,-15.79,-1.252
CIV,Côte d’Ivoire,2014,1.577156,,,
HRV,Croatia,2014,5.758433,,13.3,0.766
CUB,Cuba,2014,5.227796,,,
CYP,Cyprus,2014,6.882424,,-8.21,-0.565
EGY,Egypt,2014,3.07912,,,
GEO,Georgia,2014,4.477543,,,
GHA,Ghana,2014,1.128611,,,
GTM,Guatemala,2014,1.703142,,,
GNB,Guinea-Bissau,2014,0.6962806,,,
GUY,Guyana,2014,6.078437,,,
VAT,Holy See,2014,30.32221,,,
IDN,Indonesia,2014,3.069394,,,
KAZ,Kazakhstan,2014,20.52191,,-17.1,-3.509
KEN,Kenya,2014,1.147807,,,
LIE,Liechtenstein,2014,5.356115,,-21.1,-1.13
MYS,Malaysia,2014,10.23582,,,
MDV,Maldives,2014,3.68893,,,
MLT,Malta,2014,6.549833,,-35.66,-2.336
MUS,Mauritius,2014,4.015156,,,
MDA,Moldova,2014,3.968441,,,
MCO,Monaco,2014,2.346737,,-34.6,-0.812
MAR,Morocco,2014,2.459603,,,
NAM,Namibia,2014,4.751163,,,
NPL,Nepal,2014,1.496792,,,
NGA,Nigeria,2014,1.563994,,,
PAN,Panama,2014,4.204799,,,
PER,Peru,2014,3.223498,,,
ROU,Romania,2014,5.914941,,-8.16,-0.482
RUS,Russia,2014,13.6596,,4.84,0.662
RWA,Rwanda,2014,0.7338822,,,
SRB,Serbia,2014,7.617867,,20.37,1.552
SGP,Singapore,2014,9.636294,,,
SLB,Solomon Islands,2014,0.8533567,,,
ZAF,South Africa,2014,9.387836,,,
UKR,Ukraine,2014,8.028714,,-23.14,-1.858
UZB,Uzbekistan,2014,5.650603,,,
VEN,Venezuela,2014,8.367807,,,
AUS,Australia,2019,21.86902,East Asia & Pacific,-12.36,-2.811
